SID,CNT,SHOW_TYPE
65200,137804,2
65200,137804,2
1904,83773,2
1904,83773,2
1904,83773,2
1904,83773,2
1403,78186,2
1403,78186,2
1403,78186,2
1403,78186,2
1405,77176,2
1405,77176,2
1405,77176,2
1405,77176,2
1901,45221,2
1901,45221,2
1901,45221,2
1901,45221,2
1204,38751,2
1204,38751,2
1204,38751,2
1204,38751,2
3204,29633,2
3204,29633,2
3204,29633,2
3204,29633,2
1703,19312,2
1703,19312,2
1703,19312,2
1703,19312,2
1705,15973,2
1705,15973,2
1705,15973,2
1705,15973,2
1402,15795,2
1402,15795,2
1402,15795,2
1402,15795,2
201,15331,2
201,15331,2
201,15331,2
201,15331,2
107,14547,2
107,14547,2
107,14547,2
107,14547,2
1906,14483,2
1906,14483,2
1906,14483,2
1906,14483,2
202,14417,2
202,14417,2
202,14417,2
202,14417,2
1706,13407,2
1706,13407,2
1706,13407,2
1706,13407,2
1201,9205,2
1201,9205,2
1201,9205,2
1201,9205,2
208,8253,2
208,8253,2
208,8253,2
208,8253,2
1404,7692,2
1404,7692,2
1404,7692,2
1404,7692,2
405,1049604,1
1001,157459,1
1405,87770,1
906,33810,1
1404,31558,1
1403,21276,1
4504,14400,1
208,13011,1
1805,10429,1
3101,10057,1
1407,7427,1
503,5433,1
3304,4132,1
1005,3317,1
205,2417,1
1201,1894,1
306,1837,1
1903,1633,1
3102,1210,1
103,1059,1
65200,1048324,2
65200,1048324,2
65200,1048324,2
65200,1048324,2
65200,1048324,2
405,36112,2
405,36112,2
405,36112,2
405,36112,2
405,36112,2
65200,3530,2
65200,3530,2
65200,3530,2
65200,3530,2
65200,3530,2
203,1896,2
203,1896,2
203,1896,2
203,1896,2
203,1896,2
202,1474,2
202,1474,2
202,1474,2
202,1474,2
202,1474,2
1803,1381,2
1803,1381,2
1803,1381,2
1803,1381,2
1803,1381,2
803,480,2
803,480,2
803,480,2
803,480,2
803,480,2
1401,301,2
1401,301,2
1401,301,2
1401,301,2
1401,301,2
405,243,2
405,243,2
405,243,2
405,243,2
405,243,2
4401,242,2
4401,242,2
4401,242,2
4401,242,2
4401,242,2
903,181,2
903,181,2
903,181,2
903,181,2
903,181,2
4801,176,2
4801,176,2
4801,176,2
4801,176,2
4801,176,2
3701,172,2
3701,172,2
3701,172,2
3701,172,2
3701,172,2
1602,61,2
1602,61,2
1602,61,2
1602,61,2
1602,61,2
1003,25,2
1003,25,2
1003,25,2
1003,25,2
1003,25,2
1404,23,2
1404,23,2
1404,23,2
1404,23,2
1404,23,2
1201,20,2
1201,20,2
1201,20,2
1201,20,2
1201,20,2
501,13,2
501,13,2
501,13,2
501,13,2
501,13,2
305,11,2
305,11,2
305,11,2
305,11,2
305,11,2
1605,10,2
1605,10,2
1605,10,2
1605,10,2
1605,10,2
1205,1021236,2
1205,1021236,1
1205,1021236,9
1507,326650,2
1507,326650,1
1507,326650,9
1705,235464,2
1705,235464,1
1705,235464,9
65200,117552,2
65200,117552,1
65200,117552,9
1504,110791,2
1504,110791,1
1504,110791,9
903,45409,2
903,45409,1
903,45409,9
1406,43137,2
1406,43137,1
1406,43137,9
3703,39280,2
3703,39280,1
3703,39280,9
4601,22664,2
4601,22664,1
4601,22664,9
3401,21696,2
3401,21696,1
3401,21696,9
4403,20647,2
4403,20647,1
4403,20647,9
1206,14821,2
1206,14821,1
1206,14821,9
305,14545,2
305,14545,1
305,14545,9
4502,14501,2
4502,14501,1
4502,14501,9
1201,12684,2
1201,12684,1
1201,12684,9
3204,10146,2
3204,10146,1
3204,10146,9
1202,5295,2
1202,5295,1
1202,5295,9
1906,4924,2
1906,4924,1
1906,4924,9
1505,4557,2
1505,4557,1
1505,4557,9
2901,3984,2
2901,3984,1
2901,3984,9
65200,989404,4
65200,989404,4
65200,989404,4
65200,989404,9
65200,989404,4
65200,989404,4
65200,989404,4
65200,989404,2
65200,989404,4
65200,989404,2
1405,221024,4
1405,221024,4
1405,221024,4
1405,221024,9
1405,221024,4
1405,221024,4
1405,221024,4
1405,221024,2
1405,221024,4
1405,221024,2
1001,195633,4
1001,195633,4
1001,195633,4
1001,195633,9
1001,195633,4
1001,195633,4
1001,195633,4
1001,195633,2
1001,195633,4
1001,195633,2
904,172922,4
904,172922,4
904,172922,4
904,172922,9
904,172922,4
904,172922,4
904,172922,4
904,172922,2
904,172922,4
904,172922,2
3101,69153,4
3101,69153,4
3101,69153,4
3101,69153,9
3101,69153,4
3101,69153,4
3101,69153,4
3101,69153,2
3101,69153,4
3101,69153,2
808,40130,4
808,40130,4
808,40130,4
808,40130,9
808,40130,4
808,40130,4
808,40130,4
808,40130,2
808,40130,4
808,40130,2
3702,31071,4
3702,31071,4
3702,31071,4
3702,31071,9
3702,31071,4
3702,31071,4
3702,31071,4
3702,31071,2
3702,31071,4
3702,31071,2
3701,29048,4
3701,29048,4
3701,29048,4
3701,29048,9
3701,29048,4
3701,29048,4
3701,29048,4
3701,29048,2
3701,29048,4
3701,29048,2
1801,9663,4
1801,9663,4
1801,9663,4
1801,9663,9
1801,9663,4
1801,9663,4
1801,9663,4
1801,9663,2
1801,9663,4
1801,9663,2
1401,8606,4
1401,8606,4
1401,8606,4
1401,8606,9
1401,8606,4
1401,8606,4
1401,8606,4
1401,8606,2
1401,8606,4
1401,8606,2
3202,6444,4
3202,6444,4
3202,6444,4
3202,6444,9
3202,6444,4
3202,6444,4
3202,6444,4
3202,6444,2
3202,6444,4
3202,6444,2
3703,5868,4
3703,5868,4
3703,5868,4
3703,5868,9
3703,5868,4
3703,5868,4
3703,5868,4
3703,5868,2
3703,5868,4
3703,5868,2
1203,4226,4
1203,4226,4
1203,4226,4
1203,4226,9
1203,4226,4
1203,4226,4
1203,4226,4
1203,4226,2
1203,4226,4
1203,4226,2
3603,2717,4
3603,2717,4
3603,2717,4
3603,2717,9
3603,2717,4
3603,2717,4
3603,2717,4
3603,2717,2
3603,2717,4
3603,2717,2
4404,2659,4
4404,2659,4
4404,2659,4
4404,2659,9
4404,2659,4
4404,2659,4
4404,2659,4
4404,2659,2
4404,2659,4
4404,2659,2
905,1147,4
905,1147,4
905,1147,4
905,1147,9
905,1147,4
905,1147,4
905,1147,4
905,1147,2
905,1147,4
905,1147,2
4302,647,4
4302,647,4
4302,647,4
4302,647,9
4302,647,4
4302,647,4
4302,647,4
4302,647,2
4302,647,4
4302,647,2
65200,640,4
65200,640,4
65200,640,4
65200,640,9
65200,640,4
65200,640,4
65200,640,4
65200,640,2
65200,640,4
65200,640,2
1002,612,4
1002,612,4
1002,612,4
1002,612,9
1002,612,4
1002,612,4
1002,612,4
1002,612,2
1002,612,4
1002,612,2
3704,262,4
3704,262,4
3704,262,4
3704,262,9
3704,262,4
3704,262,4
3704,262,4
3704,262,2
3704,262,4
3704,262,2
2003,970916,9
2003,970916,1
2102,231418,9
2102,231418,1
1001,153994,9
1001,153994,1
1403,151511,9
1403,151511,1
1506,93180,9
1506,93180,1
1304,68426,9
1304,68426,1
104,52106,9
104,52106,1
407,52096,9
407,52096,1
903,42703,9
903,42703,1
1701,41495,9
1701,41495,1
402,39793,9
402,39793,1
1604,23071,9
1604,23071,1
102,22130,9
102,22130,1
1405,18695,9
1405,18695,1
1903,16522,9
1903,16522,1
1305,16279,9
1305,16279,1
904,15677,9
904,15677,1
602,14704,9
602,14704,1
103,14400,9
103,14400,1
507,11945,9
507,11945,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,2
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,2
4401,959576,1
4401,959576,2
4401,959576,1
4401,959576,2
4401,959576,2
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,1
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,1
4401,959576,1
4401,959576,2
4401,959576,1
4401,959576,2
4401,959576,2
4401,959576,4
4401,959576,2
4401,959576,9
4401,959576,9
4401,959576,9
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,4
4401,959576,2
4401,959576,2
4401,959576,2
4401,959576,2
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,2
2101,98744,1
2101,98744,1
